label_id,span_label,num_of_token,stanza_pos,stanza_dep,ckip_pos,token_text
['0RJsZQqAb5'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['sVC9O4AHXb'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['0APo8lGJia'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['36Pj4jY4ht'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['WhFjddsiu5'],OPINION_OPR,1,['VERB'],['root'],['VE'],['說']
['Xy9ZCnYfLs'],OPINION_OPR,1,['VERB'],['root'],['VE'],['揭示']
['FA_4qs2cZY'],OPINION_OPR,1,['VERB'],['advcl'],['VE'],['指出']
['3bokhkZZNE'],OPINION_OPR,1,['VERB'],['advcl'],['VE'],['說明']
['WeyPydCejJ'],OPINION_OPR,1,['VERB'],['advcl'],['VE'],['說明']
['mOVSJXF0TR'],OPINION_OPR,1,['VERB'],['root'],['VE'],['說']
['S1fdYirlM7'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['BIgQELnoJj'],OPINION_OPR,1,['VERB'],['root'],['VA'],['喊話']
['qL-ReMplQc'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['DmS5La8oSh'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['YT9Y7PYglJ'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['eHKhHP2hXi'],OPINION_OPR,1,['VERB'],['advcl'],['VE'],['表示']
['vDO7XZHf2A'],OPINION_OPR,1,['VERB'],['root'],['VE'],['預告']
['rDT4S8zvB2'],OPINION_OPR,1,['VERB'],['root'],['VE'],['稱讚']
['GiFPfWw54e'],OPINION_OPR,1,['VERB'],['parataxis'],['VE'],['說']
['u8k-M6p3MF'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['rjbQCKjpEJ'],OPINION_OPR,1,['VERB'],['root'],['VE'],['指出']
['BbtOaNAsDm'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['abx91z0Eia'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['u7lNt9u8jR'],OPINION_OPR,1,['VERB'],['root'],['VE'],['指出']
['wFDXYEHqtS'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['o0SBA0als1'],OPINION_OPR,1,['VERB'],['root'],['VE'],['認為']
['dPqvBqRVOu'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['PpxrkihIJN'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['4MxaIGIpai'],OPINION_OPR,1,['VERB'],['root'],['VE'],['提醒']
['l0p9OSyWf8'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['wZTVLFN3il'],OPINION_OPR,1,['VERB'],['root'],['VE'],['說']
['lXgurtzJh9'],OPINION_OPR,1,['VERB'],['advcl'],['VE'],['重申']
['XeqM_1pOBY'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
['0bpIkOzX1O'],OPINION_OPR,1,['VERB'],['root'],['VE'],['表示']
